"Path","Tracked","WorktreeExists","SizeBytes","TopLevel","Extension","Classification","WorkflowRelation","RuntimeProtection","ReferenceAuditStatus","GitHistoryStatus","Notes"
".agents/skills/firebase-data-connect/templates.md","True","True","6657",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/android_sdk_usage.md","True","True","3664",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/data_model.md","True","True","2880",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/flutter_setup.md","True","True","4558",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/indexes.md","True","True","4572",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/ios_setup.md","True","True","5961",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/provisioning.md","True","True","3264",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/python_sdk_usage.md","True","True","2946",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/security_rules.md","True","True","27107",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/enterprise/web_sdk_usage.md","True","True","4315",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/standard/android_sdk_usage.md","True","True","4784",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/standard/flutter_setup.md","True","True","4409",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/standard/indexes.md","True","True","4126",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/standard/ios_setup.md","True","True","5364",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/standard/provisioning.md","True","True","2899",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/standard/security_rules.md","True","True","27107",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-firestore/references/standard/web_sdk_usage.md","True","True","4547",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
